dataset,model,n,accuracy,weighted_f1,macro_f1,unparseable_rate,strongest_baseline,mcnemar_b,mcnemar_c,mcnemar_statistic,mcnemar_p_value,mcnemar_method,boot_point,boot_lo,boot_hi,boot_n_boot
fpb_decontam,FinGPT-Llama-3-8B-LoRA,560,0.9339285714285714,0.9409774761500703,0.9265311629328364,0.017857142857142856,0,34.0,3.0,24.324324324324323,8.140458015277845e-07,chi2-continuity,0.05535714285714288,0.0357142857142857,0.07678571428571435,10000.0
fpb_decontam,FinGPT-Bloom-7B1-LoRA,560,0.8946428571428572,0.8934150008483577,0.8517192334198449,0.0,0,58.0,5.0,42.92063492063492,5.7006184827629655e-11,chi2-continuity,0.09464285714285714,0.06785714285714284,0.12142857142857144,10000.0
fpb_decontam,Mistral-7B-v0.1-Base,560,0.0035714285714285713,0.007025178416134064,0.013527877089573872,0.9946428571428572,0,552.0,0.0,550.0018115942029,1.2577549323116484e-121,chi2-continuity,0.9857142857142858,0.975,0.9946428571428572,10000.0
tfns,Finistral-7B-LoRA (Alpaca prompt),2373,0.8786346396965866,0.8810770979989634,0.8597860916484814,0.0,0,47.0,259.0,145.49346405228758,1.6752463484887893e-33,chi2-continuity,-0.089338390223346,-0.10366624525916557,-0.07543194268857989,10000.0
tfns,FinGPT-Llama-3-8B-LoRA,2373,0.7804466919511167,0.8211189165817787,0.79063950816492,0.09270965023177413,1,301.0,280.0,0.6884681583476764,0.40668590603350385,chi2-continuity,0.008849557522123908,-0.010956595027391436,0.02865571007163925,10000.0
tfns,Finistral-7B-LoRA,2373,0.7892962494732406,0.7958607451133978,0.7776328696272516,0.0,0,,,,,,,,,
tfns,FinGPT-mt-Llama2-7B-LoRA,2373,0.764433206911083,0.7713374925793425,0.7526658960115821,0.0,0,208.0,149.0,9.42296918767507,0.0021428427409036052,chi2-continuity,0.024863042562157656,0.00969237252423083,0.04045512010113772,10000.0
tfns,FinGPT-Falcon-7B-LoRA,2373,0.7307206068268015,0.7376626102133717,0.7223301469811833,0.0,0,283.0,144.0,44.59953161592506,2.4174948670697278e-11,chi2-continuity,0.05857564264643911,0.041719342604298326,0.07543194268857989,10000.0
tfns,FinBERT (ProsusAI),2373,0.7252423093131057,0.732860903949989,0.6679456053910293,0.0,0,422.0,270.0,32.94942196531792,9.458786528715517e-09,chi2-continuity,0.06405394016013488,0.04256215760640536,0.08596713021491775,10000.0
tfns,FinGPT-Bloom-7B1-LoRA,2373,0.6826801517067004,0.6986199073715759,0.6448981658905489,0.0,0,474.0,221.0,91.37266187050359,1.1900933278159988e-21,chi2-continuity,0.10661609776654024,0.08512431521281083,0.12811841550779593,10000.0
tfns,Mistral-7B-v0.1-Base,2373,0.0012642225031605564,0.002493990588691117,0.004690256715234414,0.9945217024863042,0,1870.0,0.0,1868.0005347593583,0.0,chi2-continuity,0.78803202697008,0.7715971344289928,0.8040560471976399,10000.0
